device_id,licence_number,registration_id,radcom_access_id,radcom_registration_id,freq_centre,bandwidth,freq_lower,freq_upper,occupied_bw,service_type,service_subtype,licence_subtype,height,latitude,longitude,site_id,site_name,state,client,industry,emission_designator,tx_rx,power_watts,eirp_watts,simplex_duplex,azimuth,antenna_gain,antenna_manufacturer,antenna_model,multi_antenna,antenna_size,antenna_tilt,antenna_type,date_authorised,date_issued,date_effective,date_expires,licence_status
332251345,9867483,10089482,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,29.6,-37.705746,148.456766,12074,Telstra Exchange ORBOST,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,340,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332252259,9867483,10004101,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,20,-20.089388,146.252707,150286,Monopole  Broadcast Australia Site off Blackjack Rd TOWERS HILL,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,70,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,17/5/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332252870,9867483,10104538,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,33,-19.204646,146.504032,9010826,Optus Lattice Tower Blue Mountain Drive BLUEWATER PARK,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,135,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/9/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332253121,9867483,10300626,,,3475000000,19900000,3465050000,3484950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-43.043726,147.322478,9027923,NBN Co Site 441 Tinderbox Rd TINDERBOX,TAS,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,305,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,19/9/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332253487,9867483,10283742,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-20.089506,146.252889,9026975,NBN Co Site 91 Rainbow Road TOWERS HILL,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,335,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332253575,9867483,10055190,,,3475000000,19900000,3465050000,3484950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,35,-36.020066,146.961523,9813,Allcom Site One Tree Hill ALBURY,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,190,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,8/6/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332253982,9867483,10076466,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-20.089388,146.252707,150286,Monopole  Broadcast Australia Site off Blackjack Rd TOWERS HILL,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,70,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/7/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332254111,9867483,10283758,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,35,-30.351424,153.020561,9018134,NBN Co Site 72 Yarraman Road BONVILLE,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,130,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332254326,9867483,10104534,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,33,-19.204646,146.504032,9010826,Optus Lattice Tower Blue Mountain Drive BLUEWATER PARK,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,45,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/9/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332254999,9867483,10307776,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-37.859231,140.757389,9018788,NBN Co Site 21444 Riddoch Highway MOORAK,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,270,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,9/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
